name,prompts_count,volume,volume_trend,intents
Aspiradores Electrolux stk12/stk13,19,634,41;75;84;71;39;34;34;35;88;100;40;46,task:2;informational:49;navigational:25;commercial:13;transactional:11
Robôs aspiradores Kabum Smart,41,15526,38;41;44;43;99;99;99;100;52;52;52;52,task:2;informational:50;navigational:10;commercial:24;transactional:14
Limpeza Doméstica e Higiene,36,12503,21;23;100;23;95;96;96;24;24;24;24;24,task:8;informational:70;navigational:3;commercial:7;transactional:12
Conserto de Aspirador de Pó,19,1773,59;28;28;46;74;76;76;99;100;100;100;100,task:8;informational:58;navigational:9;commercial:13;transactional:12
Condor Mops e Acessórios Domésticos,20,602,72;85;92;88;82;86;100;100;86;86;86;85,task:3;informational:24;navigational:41;commercial:21;transactional:11
Kits de aspiração para piscinas,19,648,32;47;51;50;63;46;52;86;94;73;69;100,task:7;informational:33;navigational:5;commercial:38;transactional:17
Mops com spray,26,4225,42;45;47;20;100;100;100;98;19;19;19;19,task:5;informational:56;navigational:5;commercial:21;transactional:13
Filtros de aspirador WAP,18,260,38;48;48;54;54;52;54;42;43;97;100;48,task:7;informational:58;navigational:6;commercial:19;transactional:10
Aspiradores de pó 1300W e PTE10,17,349,17;21;31;26;23;21;20;100;35;23;20;25,task:7;informational:52;navigational:4;commercial:29;transactional:8
Robô Aspirador Smart 700,17,264,100;49;51;46;45;45;44;39;39;46;44;44,task:5;informational:55;navigational:11;commercial:15;transactional:14
Extratoras WAP e limpadores portáteis,61,26372,37;40;42;65;73;73;73;100;74;74;74;74,informational:52;navigational:14;commercial:24;transactional:10
Brinquedos Eróticos,17,239,84;96;100;99;91;92;93;95;96;96;97;96,task:3;informational:60;navigational:1;commercial:25;transactional:11
Filtros de aspirador Electrolux,15,258,9;73;88;54;41;36;28;42;33;100;89;89,task:7;informational:44;navigational:1;commercial:22;transactional:26
Peças e acessórios WAP para aspiradores,16,254,15;18;19;21;21;21;23;100;81;19;19;19,task:7;informational:17;navigational:4;commercial:43;transactional:29
Aspiradores IPC Soteco Brasil,16,3099,36;42;45;43;42;43;43;99;100;100;99;98,task:2;informational:53;navigational:26;commercial:13;transactional:6
"Baldes, Mops e Esfregões",18,935,66;87;87;82;79;87;87;100;83;83;79;79,task:7;informational:50;navigational:4;commercial:24;transactional:15
